Company,Country,Pavilion,Website,Activity (1 line),Products,Product categories (filters),Services,Service categories (filters),Target customers,Technologies,Technology categories (filters),Why target,Score,Source
SCHOELLER-BLECKMANN PRECISION TECHNOLOGY GMBH,Austria,,http://sbot.co.at/,Manufactures complex mechanical parts in specialized steels using CNC machining and metal 3D printing.,High-precision machined parts in alloy steels · Metal 3D-printed components · Magnetically transparent components (Non-Mag),Pièces mécaniques & usinage,Precision CNC machining · Metal additive manufacturing · Post-processing and finishing,Sous-traitance industrielle,"Defense primes, Defense industrials",High-precision CNC machining · Metal 3D printing · Specialized steels and alloys,Fabrication additive,EN9100-eligible precision manufacturer specializing in complex parts for sensitive systems; strategic subcontractor for critical components.,100,manual
SWAROVSKI OPTIK KG,Austria,,http://www.swarovskioptik.com/,"Manufactures high-end precision optics (binoculars, riflescopes, optronic instruments).",Binocular field glasses · Weapon riflescopes · Optronic sights · Optical observation instruments,Optronique & viseurs (EO/IR),,,"MoD / Armed Forces, Defense industrials",Precision optics,Optique de précision,Premium Austrian optronics manufacturer — established supplier of tactical observation and sighting equipment to armed forces.,100,manual
ULBRICHTS GMBH,Austria,,http://www.ulbrichts.com/,"Designs and manufactures Polytanium ballistic helmets for European armed forces and police (ULBRICHTS, Austria).",Polytanium ballistic helmets · high-performance ballistic steel protection · ULBRICHTS combat helmets,Casques de combat,OEM supply · ballistic qualification,Sous-traitance industrielle · Certification & tests,"MoD / Armed Forces, Civil security, Export / international","ballistic materials (UHMWPE, ceramics)","Matériaux balistiques (UHMWPE, céramiques)","Austrian niche player in Polytanium helmets — competitor (vs Mehler, Galvion, MKU) in high-performance helmet protection.",100,manual
WFL MILLTURN TECHNOLOGIES GMBH & CO. KG,Austria,,http://www.wfl.at/,"Designs and develops defense business software, operational management platforms, and data analysis modules.",defense business software · operational management platforms · data analysis modules · ground robots (UGV) · tactical robotic platforms · teleoperation modules,Logiciels métier défense (autres) · Robots terrestres (UGV / EOD),,,MoD / Armed Forces,robotics / autonomy · simulation,Robotique & autonomie · Navigation inertielle · Simulation & VR/AR,"Potential buyer of sovereign cloud infrastructure, AI, and cyber solutions for its software lines — also a competitor in the software segment.",100,medium
Wieland Austria,Austria,,http://www.wieland.com/de/wieland-austria,"Manufactures copper, brass, and bronze tubes and semi-finished products for aeronautical cooling systems, naval propulsion, and military electronics.","Smooth and internally ribbed copper tubes · Brass and bronze semi-finished products · Heat exchangers (tube-fin) · Electrification components (rotors, stromrails)",Navires & sous-systèmes navals · Pièces mécaniques & usinage · Aciers & métallurgie spéciale,Surface treatment · Machining and assembly,Sous-traitance industrielle,"Defense primes, Defense industrials",Copper-brass metallurgy · Applied thermics,Imagerie infrarouge,"Raw material and thermal component subcontractor for aeronautical/naval defense equipment manufacturers (Thales, Rolls-Royce, shipyards) — direct access as a critical supplier.",100,manual
WILD GMBH,Austria,,http://www.wild.at/,"Develops and manufactures optomechatronic systems on a subcontracting basis for the medical, optical, and defense sectors.",Optomechatronic systems · Optical and mechanical components · Optical measurement systems,Autre — à qualifier,Industrial subcontracting · Product development · Series manufacturing,Sous-traitance industrielle · Ingénierie & conseil · MCO / MRO,"Defense industrials, Defense primes",Precision optics · Mechatronics · Laser systems,Optique de précision,Austrian subcontractor in optomechatronics with proven defense expertise — potential supplier for the development and manufacturing of complex systems.,100,manual
AGC Plasma Technology Solutions,Belgium,,http://www.agc-plasma.com/,Manufactures vacuum deposition equipment for thin-film coating on defense substrates.,Magnetron sputtering equipment · PECVD systems · Ion implantation devices · Custom deposition solutions,Autre — à qualifier,Systems integration · Engineering & consulting · Demonstrators & labs,Ingénierie & conseil · Intégration de systèmes,"Defense primes, Defense industry",Magnetron Sputtering · PECVD (Plasma Enhanced Chemical Vapor Deposition) · Ion Beam Implantation · Thin-film deposition,Autre — à qualifier,Critical technology equipment manufacturer for optronic coatings and defense components — potential supplier for specialized vacuum deposition solutions.,100,manual
DEKIMO,Belgium,,https://www.dekimo.com/,"Designs and manufactures defense business software, electronic components, and communication networks.",Defense business software · Electronic components · Communication networks · Embedded systems · Military vehicles,Logiciels métier défense (autres) · Composants électroniques & cartes · Réseaux militaires (5G/P-LTE/MANET) · Véhicules tactiques (non blindés),Engineering / consulting · Certification / testing,Ingénierie & conseil · Certification & tests,MoD / Armed Forces,Cloud · 5G / wireless · Simulation · RF / microwave,Cloud & cloud souverain · 5G / réseaux radio mobiles · Navigation inertielle · Simulation & VR/AR · Communications RF / micro-ondes,"Potential buyer of sovereign cloud infrastructure, AI, and cyber solutions for its software lines — also a competitor in the software segment.",100,medium
DRV Solutions,Belgium,,https://www.drv-solutions.com/,"Designs transmission systems, axles, and suspensions for military vehicles.",hydropneumatic suspensions · armored vehicle shock absorbers · tank suspension assemblies,Hydraulique & motion control · Mécanique de transmission · Logiciels de simulation & cyber range · Moteurs aéronautiques · Pièces mécaniques & usinage,engineering / consulting · MCO / MRO · systems integration,Ingénierie & conseil · MCO / MRO · Intégration de systèmes,"Defense primes, MoD / Armed Forces, Export / international",military shock absorbers,Hydraulique haute performance,Tier-1 supplier of tank suspensions — partner for armored vehicle prime contractors.,100,medium
FERONYL SA,Belgium,,https://www.feronyl.com/,"Manufactures technical injection-molded parts (polymers, composites, MIM) and lightweight sub-assemblies for aerospace and defense.","Thermoplastic injection-molded parts · Composites (compression molding, OoA) · Powder metal parts (MIM) · Multi-material assemblies (2K overmolding) · Assemblies and welding",Pièces mécaniques & usinage,Manufacturing & industrial subcontracting · Prototyping & development · Assembly & integration,Sous-traitance industrielle · Intégration de systèmes,"Defense primes, Defense manufacturers",Composite materials · Engineering polymers · Additive manufacturing,Matériaux composites · Fabrication additive,"Belgian manufacturing subcontractor with aerospace quality certification — potential supplier for complex lightweight series parts for defense programs (helicopters, drones, portable systems).",100,manual
FN,Belgium,,http://www.fnherstal.com/,"Manufactures assault rifles, pistols, and sighting systems (FN PUREVIEW™, day/night sights) for armed forces, special operations forces, and law enforcement.","Assault rifles (FN SCAR, FN F2000) · Pistols (FN Five-seveN, FN 509) · Holographic sighting systems (FN PUREVIEW™) · Calibrated ammunition",Optronique & viseurs (EO/IR),Weapon systems integration · Logistics and after-sales support,Intégration de systèmes,"MoD / Armed Forces, Defense primes, Civil security",Optronics & sights (EO/IR) · Integrated weapon systems,Autre — à qualifier,"NATO benchmark small arms and optronics manufacturer — direct buyer for infantry and special forces equipment, competitor/partner for systems integrators.",100,manual
Group ACB,Belgium,,http://www.groupacb.com/,"Designs and manufactures high-reliability printed circuit boards (PCBs) for defense, space, and medical applications.",High-reliability PCBs (12+ layers) · Military rigid-flex PCBs · PCBs for space applications,Composants électroniques & cartes · Batteries & packs énergétiques,OEM supply · PCB engineering,Sous-traitance industrielle · Ingénierie & conseil,"Defense primes, Defense industrials, Export / international",ruggedized PCB,Autre — à qualifier,"Franco-Belgian Tier-1 PCB subcontractor — supplier to Thales, MBDA, Airbus DS, and Naval Group.",100,manual
GROUPEMECA,Belgium,,https://groupemeca.com/,Designs and applies surface treatments and finishes for defense and aeronautics.,PVD coatings · aeronautical heat treatments · anti-corrosion coatings,Pièces mécaniques & usinage,certification / testing · distribution / representation · engineering / consulting,Certification & tests · Distribution & représentation · Ingénierie & conseil,"Defense primes, Defense industrials, Export / international",surface coatings,Autre — à qualifier,"Tier-1 surface treatment subcontractor — partner for aerospace/defense production lines (Safran, Aubert & Duval).",100,medium
JOHN COCKERILL,Belgium,,http://defense.johncockerill.com/en/,Designs and manufactures tactical armoured vehicles for armed forces and security applications.,Armoured vehicles · Appliqué armour kits · Remote weapon stations,Véhicules blindés · Tourelles téléopérées (RWS),,,"MoD / Armed forces, Defence primes, Export / international",Modular armour · All-terrain vehicles,Autre — à qualifier,"Direct competitor in armoured vehicles — strategic buyer of powertrains, optronics, embedded electronics and sensors.",100,medium
K-TEG BV,Belgium,,http://k-teg.com/,"Designs and manufactures hardened technical packaging for defense, aerospace, and armament.",hardened technical cases · watertight containers · mil-spec custom packaging,"Conteneurs, malles, shelters · Batteries & packs énergétiques · Pièces mécaniques & usinage · Armes légères & accessoires",certification / testing,Certification & tests,"MoD / Armed Forces, Defense Primes, Defense Industrials, Export / International",watertight containers,Autre — à qualifier,"Technical packaging supplier — partner for the forward deployment of sensitive equipment (avionics, optronics, munitions).",100,high
MIRMEX MOTOR,Belgium,,http://www.mirmexmotor.com/,"Manufactures slotless, high power-density BLDC micromotors for defense systems.",Radial flux BLDC micromotors · Axial flux BLDC micromotors · Custom motor windings · Microgenerators,Plateformes IA / vision défense,Systems integration · Engineering & consulting,Ingénierie & conseil · Intégration de systèmes,"Defense manufacturers, Defense prime contractors",AI / machine learning · Winding printing,IA / machine learning,Belgian manufacturer of high-performance micromotors suitable for defense equipment manufacturers — supplier of critical components for targeting mechanisms and precision actuators.,100,manual
MUSTAD BELGIUM,Belgium,,https://www.mustad.be/,"Manufactures precision mechanical components through screw machining, CNC machining, and EDM for defense, aeronautics, and demanding sectors.",Precision-machined mechanical components · Single- and multi-spindle screw-machined parts · 4- & 5-axis CNC milled parts · Assembled electromechanical and hydraulic assemblies,Pièces mécaniques & usinage,"Precision machining and manufacturing · Industrial subcontracting · Electromechanical assembly · Finishing (laser engraving, deburring, etc.)",Sous-traitance industrielle · Intégration de systèmes,"MoD / Armed Forces, Defense primes, Defense industrials",CNC screw machining · 4- & 5-axis milling · Wire EDM · Precision grinding,Autre — à qualifier,"Belgian subcontractor specialized in precision machining (0.001 mm tolerance), capable of high-volume production (1K to 18M parts/year), with industrial certification — relevant supplier for mechanical components in weapons system supply chains.",100,manual
NanoPyro,Belgium,,http://www.nanopyro.be/,Designs and manufactures innovative heavy-metal-free energetic materials for defense applications.,Composite energetic materials (CNX) · Heavy-metal-free primary explosives · Low-toxicity smoke compositions · Lead-free primer compositions · Energetic coatings for propellants · Burn-rate modifiers for solid propellants,"Explosifs & matériaux énergétiques · Matériaux composites & blindage · Mâts, signalisation & balisage",Engineering & consulting · R&D in energetic materials · Industrialization and production,Ingénierie & conseil,"MoD / Armed Forces, Defense primes, Defense manufacturers",Composite NanoeXplosive (CNX) · REACH-compliant energetic materials · Heavy-metal-free chemistry,Matériaux composites,"Specialist in regulatory-compliant defense energetic materials (REACH-compliant, heavy-metal-free) — potential supplier for primary explosives, propellants, and pyrotechnic compositions.",100,manual
NEW LACHAUSSEE SA,Belgium,,https://www.lachaussee.com/,"Manufactures production lines (ammunition, primer, detonator lines) for ammunition and pyrotechnic component manufacturers.",Ammunition production lines · Primer and pyrotechnic component lines · Detonator lines · Precision machining equipment,"Pièces mécaniques & usinage · Mâts, signalisation & balisage",Line engineering and design · Technical support,Ingénierie & conseil,"Defense primes, Defense industrials, Export / international",Precision machining · Industrial automation,Autre — à qualifier,"Critical machine-tool supplier for ammunition and pyrotechnic system manufacturers — indirect access to ammunition procurement decision-makers (integrators, manufacturers).",100,manual
ScioTeq bv,Belgium,,https://www.scioteq.com/,"Designs and manufactures avionics-certified touchscreens, real-time display consoles, and KVM systems for cockpits (helicopters, military aircraft) and air traffic control.",Avionics-certified touchscreens · Real-time display consoles · KVM systems (Real-Time KVM Switching) · Digital Video Control Unit (DVCU) · Ruggedised avionics computers,Munitions gros calibre & obus · Avionique & instruments embarqués,Avionics system integration · Technical support and avionics certification · Legacy system modernisation,Intégration de systèmes,"Defence primes (Eaton, Kongsberg), MoD / Armed forces (NASAMS Belgium), Aerospace defence industrials",High-performance embedded display · Real-time digital video switching · Certified MOSA software (MOSArt),Autre — à qualifier,"Avionics-certified supplier for cockpit display systems — direct access to military aeronautical integrators (Eaton, Kongsberg, helicopter manufacturers).",100,manual
Senhive BV,Belgium,,https://senhive.com/,"Designs and manufactures drone detection and neutralization systems (SEN-ID, SEN-ID+, SEN-HUB) for military airspace management and civil security.",SEN-ID (drone detection) · SEN-ID+ (advanced detection) · SEN-HUB (integration platform),Autre — à qualifier,Systems integration · Airspace security consulting,Intégration de systèmes,"MoD / Armed Forces, Civil Security, Defense Primes",Electromagnetic detection · Drone countermeasures,Autre — à qualifier,"Specialized C-UAS supplier for airports, military bases, and critical installations — potential partner for European defense integrators.",100,manual
Septentrio – part of Hexagon,Belgium,,http://www.septentrio.com/en,Designs and manufactures multi-frequency multi-constellation GPS/GNSS positioning technology for demanding applications.,LEO satellites · satellite terminals · phased-array antennas,Satellites & CubeSats · Terminaux & antennes spatiales · Antennes & infrastructures RF,,,"MoD / Armed Forces, Civil security, Export / international",satellite communications · GNSS / GPS,GNSS / navigation satellite,"Competitor in military satellite connectivity (vs Starlink, Hughes) — partner for space sovereignty programs.",100,medium
SEYNTEX,Belgium,,https://www.seyntex.com/,"Manufactures multilayer tactical clothing and equipment (operational uniforms, ballistic vests, CBRN masks) for armed forces and law enforcement.","Multilayer operational uniforms with MultiCam camouflage · Ballistic vests and ballistic helmets · CBRN equipment (Chemical, Bacteriological, Radioactive, Nuclear) · Rain gear and high-visibility equipment · Fire-protective clothing · Tactical backpacks · Wool base-layer underwear","Gilets & plaques pare-balles · NRBC (masques, tenues, détecteurs)",Full equipment system integration,Intégration de systèmes,"MoD / Armed Forces, Civil security",High-performance multilayer textiles,Autre — à qualifier,Prime contractor equipping Belgian forces over 15 years (€410M) — baseline supplier for reconstituting integrated equipment systems for European armies.,100,manual
SHIELD by Alpinter,Belgium,,http://shieldtents.com/,"Designs and supplies technical shelters and essential equipment for humanitarian operations, civil protection, and military use.",modular tactical shelters · hardened containers · deployable shelters,"Conteneurs, malles, shelters · Pièces mécaniques & usinage",certification / testing · training,Certification & tests · Formation & entraînement,"MoD / Armed Forces, Civil security, Export / international",hardened shelters,Autre — à qualifier,Tactical shelter supplier — partner for armed forces in overseas operations (OPEX) and deployed base protection.,100,high
SIMTECH,Belgium,,https://www.simtech.be/,"Manufactures flexible fuel tanks and storage systems for aeronautics, military vehicles, and drones.","Onboard flexible tanks (Flexdrum, Flexcell) · Fluid storage and transport systems · Technical covers for armored vehicles · Self-sealing protection for tanks",Véhicules blindés · Textiles techniques tactiques · Matériaux composites & blindage,3D design and prototyping · Qualification and laboratory testing · Custom manufacturing,Certification & tests,"MoD / Armed Forces, Defense industrials, Military aeronautics",Composites · Technical textiles · Polymers,Matériaux composites,Belgian manufacturer of fuel storage systems for military vehicles and aircraft — strategic supplier for defense integrators and aerospace manufacturers.,100,manual
SIOEN BALLISTICS,Belgium,,http://www.sioen.be/,"Manufactures coated technical textiles and protective garments (ballistic, firefighter clothing) for civil security and law enforcement.","Coated technical textiles (PVC, TPO) · Ballistic protective garments · Flame-resistant firefighter clothing · Camouflage nets","Textiles techniques tactiques · Mâts, signalisation & balisage",Custom textile cutting and dyeing · Protective garment manufacturing,Autre — à qualifier,"Civil security, Law enforcement, Defense primes",High-performance coated textiles · Flame-resistant materials,Autre — à qualifier,Certified textile and protective garment supplier for firefighters and security forces — direct access to French and European institutional markets.,100,manual
Sobelcomp,Belgium,,https://www.sobelcomp.be/,"Manufactures composite material parts and structures for aerospace, defense, and industry.",Composite parts (aerospace) · Ballistic structures (defense) · Composite components (industry),"Matériaux composites & blindage · Mâts, signalisation & balisage",Engineering & consulting · Custom manufacturing,Ingénierie & conseil · Sous-traitance industrielle,"Defense Prime Contractors, Defense Industrials, MoD / Armed Forces",Composite materials,Matériaux composites,Quality-certified Belgian composites manufacturer directly addressing ballistic protection and weight reduction requirements of defense systems.,100,manual
SPACEBEL,Belgium,,https://www.spacebel.com/,"Develops embedded software and simulation tools for satellites, and geospatial data management systems for space agencies and government bodies.",Satellite flight software · Satellite simulation tools · Geospatial data management systems · Ground-based satellite control software,Plateformes IA / vision défense,Space software engineering · Embedded software simulation and validation · Earth observation services · Small satellite systems,Ingénierie & conseil · Intégration de systèmes,"MoD / Armed Forces, Space agencies, Government bodies, Defense industrials",Artificial Intelligence (AI/ML) · Earth Observation (EO) · Space systems · Geospatial data management,IA / machine learning,Mission-critical software publisher for satellites and geospatial systems — potential technical partner for defense programs requiring embedded software validation and simulation in space environments.,100,manual
ZSE TECHNOLOGY NV,Belgium,,https://zse.be/,"Manufactures modular aerial drones (Micro-UAS, Nano-UAS) and FPV training simulators for operator training and counter-drone operations in Europe.","Modular aerial drones (10"", 3.5"", 6cm) · FPV training simulators · C2/C-UAS systems",Autre — à qualifier,Drone operator training · Systems integration,Formation & entraînement · Intégration de systèmes,"MoD / Armed Forces, Civil security",Real-time simulation · Secure wireless systems,Navigation inertielle · Simulation & VR/AR · 5G / réseaux radio mobiles,Belgian manufacturer of training drones and C-UAS systems for law enforcement and European armed forces — potential supplier for NATO/EU programmes in critical aerial equipment.,100,manual
BINAS DD BUGOJNO,Bosnia and Herzegovina,,https://www.binas.com.ba/,"Manufactures small arms, optronic systems, and ammunition for the Bosnian army and regional export.",assault rifles · precision rifles · small-caliber ammunition,Armes légères & accessoires · Munitions petit/moyen calibre · Optronique & viseurs (EO/IR),armament MCO · OEM supply,MCO / MRO · Sous-traitance industrielle,"MoD / Armed Forces, Export / international",armament mechanics,Autre — à qualifier,Bosnian ammunition manufacturer with competitive costs — partner for exports to Africa and the Middle East.,100,manual
BNT Tvornica masina i hidraulike d.d.,Bosnia and Herzegovina,,https://www.bnt-tmh.ba/,"Designs and manufactures machine tools, high-pressure hydraulics, and mechanical components for the Bosnian defence sector and export.",CNC machine tools · high-pressure hydraulic cylinders · mechanical components for military vehicles,Hydraulique & motion control,machine tool MRO · contract manufacturing,MCO / MRO · Documentation technique & ILS,"Defence industry, Defence primes, Export / international",precision engineering · high-pressure hydraulics,Hydraulique haute performance,Bosnian subcontractor with competitive costs — potential supplier for vehicle primes seeking low-cost components in Central Europe.,100,manual
Pretis d.d.,Bosnia and Herzegovina,,http://www.pretis.ba/,"Designs and manufactures small arms, weapon accessories, and mechanical weapon assemblies.",Small arms · Weapon accessories · Mechanical weapon assemblies · Weapons · Small-caliber ammunition · Medium-caliber ammunition · Primers and fuzes,Armes légères & accessoires · Explosifs & matériaux énergétiques,,,MoD / Armed Forces,Weapons mechanics · Energetic materials,Matériaux énergétiques,"Potential buyer of precision mechanics, optronics, and energetic materials for its weapons lines — also a competitor in the weapons segment.",100,medium
Companhia Nitro Química Brasileira,Brazil,,https://nitro.com.br/,Designs and manufactures civil and military explosives for the Brazilian mining sector and defense industry.,Civil mining explosives · Military explosives · Industrial initiators,Explosifs & matériaux énergétiques,OEM supply,Sous-traitance industrielle,"MoD / Armed Forces, Defense Industrials, Export / International",Energetic materials,Matériaux énergétiques,Brazilian ammunition manufacturer — potential supplier for LATAM exports and Make-in-Brazil programs.,100,manual
